name,score
LUMI,43
RIVER,67
ELLE,60
CROW,48
HAZEL,46
BK,75
JEFF,54
MILES,90
JED,45
ZEN🎄,60
CROW,48
OCEAN,60
BK,46
JUSTIN,43
THOR,60
SILO,48
ELLIE,26
MARVIN,60
ROHA,60
CINDY,56
ROHA,45
ZEN🎄,60
DANIEL,47
ROY,65
ISLA,54
DANE,60
ROY,65
THOR,65
JOY,65
PATRICK,60
MEIIA,100
CINDY,56
ED,60
ZEN🎄,60
GOLD,100
LUKE,43
THOR,100
EDAN,28
ALLAN,60
ROHA,45
DEAN,60
DANE,60
MEIIA,60
PHILIP,100
JUSTIN,60
ROHA,60
ZEN🎄,60
PATRICK,41
JOHN,29
LIAM,30
ALLAN,45
ELLE,60
JEFF,26
WOODY,31
PATRICK,60
PATRICK,40
LUCA,60
BK,70
MILES,65
ROHA,60
RINA,65
MEIIA,150
RINA,150
LUMI,26
LUCA,65
LIAM,40
MARVIN,100
ROHA,60
WOODY,100
OCEAN,100
THOR,48
JEFF,46
DANIEL,41
WOODY,60
DEAN,90
GREEN,60
SILO,60
ALLAN,60
THEO,59
CINDY,45
RINA,48
NONAN,50
RINA,65
ROMY,62
ROHA,81
DAVID,100
RIVER,75
WOODY,21
THOR,43
ALLAN,41
ELLE,90
WYNN,95
ROHA,132
ROHA,65
VAN,60
DEAN,60
ISLA,46
ELLA❄️,20
MARVIN,45
LUCA,65
BEN,70
THOR,60
DEAN,45
GREEN,9
RO,59
ALLAN,65
DEAN,53
PHILIP,95
DG,6
ED,60
JEFF,65
ALLAN,60
PATRICK,26
TIANA,61
MILES,100
MILES,105
ALLAN,41
BRICE,60
IVAN,75
BK,103
ALLAN,60
ERIC,73
BK,45
BRICE,43
ERIC,31
PATRICK,70
CROW,94
JUDY,41
CINDY,23
ZEN🎄,60
MILES,90
JEFF,12
🔔LUIS,25
LIAM,6
THOR,60
JUSTIN,60
DEAN,23
PATRICK,85
ZEN🎄,65
ROMY,64
ISLA,60
RINA,60
ED,40
ZEN🎄,60
RINA,100
BK,36
DEAN,60
JUSTIN,60
RIVER,42
ELLE,60
RINA,78
BK,27
NONAN,60
ROMY,28
CHLOE,71
ZEN🎄,60
LUCA,75
ZEN🎄,60
ELLIE,35
OLIVIA,23
MEIIA,95
ZEN🎄,100
ISLA,60
THOR,60
🔔LUIS,65
☃️,90
ELLE,60
WENDY🎅,82
DANIEL,52
ZEN🎄,60
ZEN🎄,41
ELLE,54
MARVIN,99
ELLIE,94
LUKE,65
WENDY🎅,45
ELRIC,92
CROW,7
NONAN,3
DEAN,60
DG,48
ALLAN,65
ZEN🎄,60
JEFF,95
GOLD,70
ROY,51
ROHA,44
JUSTIN,41
ED,60
ROHA,65
JARROD,43
ZUNE,39
CROW,90
BRICE,60
WADE,60
ED,60
JEFF,24
LUCA,45
TIANA,40
ALLAN,41
GREEN,75
RINA,65
ALLAN,60
GREEN,59
LUKE,65
WENDY🎅,46
DEAN,60
ELLE,105
RINA,43
ZEN🎄,60
JEFF,37
MEIIA,48
THOR,100
BRANDON,60
RIVER,54
JARROD,60
DEAN,60
ALLAN,64
DANIEL,60
BRICE,60
JUSTIN,100
DEAN,22
PATRICK,27
WADE,26
MEIIA,25
THOR,60
BEN,22
ED,60
LIAM,60
OLIVIA,59
MILES,60
TIANA,61
THEO,45
CROW,73
CHLOE,62
DANIEL,28
THOR,100
JUSTIN,75
PHILIP,60
GREEN,90
NIKE,100
JEFF,38
IVAN,96
LUCAS,48
GOLD,53
CROW,73
GOLD,78
PATRICK,45
JOY,60
ALLAN,50
RIVER,26
THOR,60
RO,21
WADE,11
EDEN🎅🎅,2
DEAN,3
MARVIN,100
ELLE,95
🔔LUIS,90
ROMY,47
LUCA,21
MILES,90
DANIEL,57
MILES,60
OLIVIA,37
ALLAN,90
BEN,30
JEFF,31
ALLAN,60
JED,41
JEFF,46
VAN,76
ZEN🎄,100
DANIEL,46
RO,41
WOODY,100
JERRY,90
DEAN,60
ZEN🎄,60
JARROD,60
AEGON,70
ALLAN,43
THOR,46
PATRICK,94
GOLD,45
ELRIC,43
ZEN🎄,100
AEGON,60
PATRICK,60
LUCA,36
IVAN,58
LUKE,25
DANIEL,35
PATRICK,60
MEIIA,45
ZUNE,21
RO,60
MILES,100
DEAN,71
RO,60
MARVIN,140
MILES,100
DEAN,60
PATRICK,59
ROHA,60
DEAN,60
CHLOE,60
LUCA,60
JEFF,48
MILES,130
LUKE,26
PATRICK,60
ROHA,45
ED,60
ALLAN,105
ROHA,51
NIKE,90
DANIEL,70
SANG❄️HWA,58
ROHA,60
PHILIP,31
🔔LUIS,3
YENNY,28
ROHA,65
PHILIP,31
ALLAN,60
ELLE,62
BEN,50
JUSTIN,56
ALLAN,60
MARVIN,34
ALLAN,60
DANIEL,42
DEAN,60
RINA,100
ALLAN,50
PATRICK,70
THOR,60
EDEN🎅🎅,15
THOR,100
IVAN,125
JEFF,53
ELLIE,41
LUKE,41
WENDY🎅,59
LIAM,30
CROW,45
ROHA,43
MILES,100
CHLOE,43
DEAN,60
ROHA,5
B⭐,85
PATRICK,48
IVAN,100
BK,53
GLORIA,86
IVAN,92
LUKE,41
IVAN,70
OCEAN,60
BEN,22
WENDY🎅,37
ROMY,41
ELLE,100
THOR,60
PATRICK,70
ROMY,53
LUCA,64
MILES,100
PATRICK,41
BEN,9
THOR,60
MEIIA,60
B⭐,29
AEGON,41
IVAN,70
BK,75
FRNK,23
GOLD,26
BRANDON,45
ZEN🎄,60
ZEN🎄,43
☃️,50
GOLD,90
LUKE,45
MEIIA,56
BRANDON,100
DANIEL,46
JEFF,65
PHILIP,60
LUCA,28
DANE,53
PATRICK,60
ROHA,65
ALLAN,30
JEFF,48
GLORIA,85
WENDY🎅,46
DANIEL,43
HAZEL,50
ALEX,31
TIANA,57
ZEN🎄,60
DANIEL,65
PHILIP,100
MARVIN,59
ROY,60
JUSTIN,43
☃️,85
JUSTIN,33
DEAN,9
IVAN,13
ISLA,76
RIVER,23
JERRY,120
ROY,9
IVAN,76
